118.11.164.232 - - [05/Jul/2018:00:01:09 +0000] "GET / HTTP/1.0" 200 11595 "-" "-"
200.71.92.67 - - [05/Jul/2018:00:28:11 +0000] "GET / HTTP/1.1" 200 11576 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:36:56 +0000] "GET / HTTP/1.1" 403 504 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:36:56 +0000] "GET /favicon.ico HTTP/1.1" 403 514 "http://52.78.216.37/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:38:22 +0000] "GET / HTTP/1.1" 403 504 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:38:22 +0000] "GET /favicon.ico HTTP/1.1" 403 514 "http://52.78.216.37/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
::1 - - [05/Jul/2018:00:41:17 +0000] "GET / HTTP/1.1" 403 501 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0"
::1 - - [05/Jul/2018:00:41:18 +0000] "GET /favicon.ico HTTP/1.1" 403 511 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0"
::1 - - [05/Jul/2018:00:41:25 +0000] "GET / HTTP/1.1" 403 501 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0"
222.96.17.28 - - [05/Jul/2018:00:49:05 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:49:05 +0000] "GET /favicon.ico HTTP/1.1" 500 802 "http://52.78.216.37/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:49:07 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:00:49:07 +0000] "GET /favicon.ico HTTP/1.1" 500 802 "http://52.78.216.37/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
207.154.232.235 - - [05/Jul/2018:00:53:33 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
207.154.232.235 - - [05/Jul/2018:00:53:39 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
180.246.223.67 - - [05/Jul/2018:00:56:17 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
60.54.114.67 - - [05/Jul/2018:01:58:30 +0000] "HEAD / HTTP/1.0" 404 159 "-" "-"
222.96.17.28 - - [05/Jul/2018:02:03:16 +0000] "GET / HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:03:17 +0000] "GET /favicon.ico HTTP/1.1" 404 503 "http://52.78.216.37/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:03:17 +0000] "GET / HTTP/1.1" 404 492 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:09:04 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:09:05 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:17:09 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:17:11 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:17:12 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:22:03 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:22:09 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:22:24 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
165.16.37.190 - - [05/Jul/2018:02:22:24 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
222.96.17.28 - - [05/Jul/2018:02:27:06 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:27:08 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:27:24 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:27:26 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
185.97.120.224 - - [05/Jul/2018:02:32:34 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:36:26 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:36:27 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:36:30 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
114.32.94.127 - - [05/Jul/2018:02:45:03 +0000] "GET / HTTP/1.0" 500 838 "-" "-"
222.96.17.28 - - [05/Jul/2018:02:51:57 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:51:58 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
41.90.97.122 - - [05/Jul/2018:02:53:28 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:02:57:29 +0000] "-" 408 0 "-" "-"
83.242.244.70 - - [05/Jul/2018:03:00:20 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:03:02:36 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:03:02:44 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:03:03:13 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:03:08:45 +0000] "-" 408 0 "-" "-"
222.96.17.28 - - [05/Jul/2018:03:11:40 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
177.139.96.99 - - [05/Jul/2018:03:14:26 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
222.96.17.28 - - [05/Jul/2018:03:18:43 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
211.36.130.200 - - [05/Jul/2018:03:41:56 +0000] "GET / HTTP/1.1" 500 802 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
211.36.130.200 - - [05/Jul/2018:03:48:02 +0000] "GET / HTTP/1.1" 404 2250 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
211.36.130.200 - - [05/Jul/2018:03:48:20 +0000] "GET / HTTP/1.1" 404 2250 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
211.36.130.200 - - [05/Jul/2018:03:48:35 +0000] "GET /api HTTP/1.1" 404 2277 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
211.36.130.200 - - [05/Jul/2018:03:48:39 +0000] "GET /api/user HTTP/1.1" 404 3314 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
211.36.130.200 - - [05/Jul/2018:03:48:44 +0000] "GET /api/users HTTP/1.1" 301 241 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
